"","game_date","game_name","team_name","opp_team_name","team_venue","player_name","period","situation_type","event_type","event_successful","event_time","x_event","y_event","receiver_name","receiver_x","receiver_y","shot_type","goal","goal_predictions"
"3677","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Canada","Olympic (Men) - Switzerland","away","Chris Lee",2,"5 on 5","Shot","f",247,143,1,"",NA,NA,"Snapshot",0,0.0108195663359043
"3680","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Canada","Olympic (Men) - Switzerland","away","Chris Lee",2,"5 on 5","Shot","f",241,133,66,"",NA,NA,"Slapshot",0,0.00786856636442487
"3691","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Eric Blum",2,"5 on 5","Shot","f",202,167,27,"",NA,NA,"Snapshot",0,0.0438284614027892
"3692","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Andres Ambuhl",2,"5 on 5","Shot","f",197,177,27,"",NA,NA,"Snapshot",0,0.07463998076685
"3700","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Philippe Furrer",2,"5 on 5","Shot","f",170,146,35,"",NA,NA,"Wristshot",0,0.00650539060983125
"3717","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Enzo Corvi",2,"5 on 5","Shot","f",118,141,54,"",NA,NA,"Snapshot",0,0.0112889114401505
"3720","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Canada","Olympic (Men) - Switzerland","away","Wojtek Wolski",2,"5 on 5","Shot","f",107,166,14,"",NA,NA,"Snapshot",0,0.0400241479533761
"3724","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Ramon Untersander",2,"5 on 5","Shot","f",85,136,67,"",NA,NA,"Snapshot",0,0.00886360687316778
"3728","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Ramon Untersander",2,"5 on 5","Shot","f",76,134,70,"",NA,NA,"Snapshot",0,0.00799351208554503
"3730","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Cody Almond",2,"5 on 5","Shot","f",69,194,57,"",NA,NA,"Wristshot",0,0.095250449390705
"3732","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Cody Almond",2,"5 on 5","Shot","f",63,140,37,"",NA,NA,"Snapshot",0,0.010159609728591
"3737","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Eric Blum",2,"5 on 5","Shot","f",51,148,8,"",NA,NA,"Snapshot",0,0.014595380939239
"3739","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Ramon Untersander",2,"5 on 5","Shot","f",46,129,48,"",NA,NA,"Slapshot",0,0.00596413536300774
"3755","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Raphael Diaz",2,"5 on 5","Shot","f",2,155,69,"",NA,NA,"Slapshot",0,0.0269926475660965
"3762","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Vincent Praplan",3,"5 on 5","Shot","f",1181,166,66,"",NA,NA,"Slapshot",0,0.0487072729714199
"3763","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Eric Blum",3,"5 on 5","Shot","f",1178,134,2,"",NA,NA,"Snapshot",0,0.00655330849362946
"3768","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Ramon Untersander",3,"5 on 5","Shot","f",1165,134,75,"",NA,NA,"Snapshot",0,0.00811103746325508
"3778","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Canada","Olympic (Men) - Switzerland","away","Rob Klinkhammer",3,"5 on 5","Shot","f",1115,159,84,"",NA,NA,"Snapshot",0,0.0333418438475891
"3781","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Canada","Olympic (Men) - Switzerland","away","Marc-Andre Gragnani",3,"5 on 5","Shot","f",1110,138,4,"",NA,NA,"Snapshot",0,0.0082499349248829
"3791","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Canada","Olympic (Men) - Switzerland","away","Wojtek Wolski",3,"5 on 5","Shot","f",1088,159,50,"",NA,NA,"Wristshot",0,0.0140669024411766
"3826","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Canada","Olympic (Men) - Switzerland","away","Mat Robinson",3,"5 on 5","Shot","f",964,137,79,"",NA,NA,"Snapshot",0,0.009707804009619
"3830","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Canada","Olympic (Men) - Switzerland","away","Marc-Andre Gragnani",3,"5 on 4","Shot","f",951,136,52,"",NA,NA,"Slapshot",0,0.00893649802358452
"3847","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Patrick Geering",3,"4 on 4","Shot","f",907,151,64,"",NA,NA,"Snapshot",0,0.0202725675857007
"3850","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Canada","Olympic (Men) - Switzerland","away","Mat Robinson",3,"4 on 4","Shot","f",893,134,9,"",NA,NA,"Slapshot",0,0.00704613452091755
"3854","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Gaetan Haas",3,"4 on 4","Shot","f",875,165,71,"",NA,NA,"Slapshot",0,0.0468065751986182
"3859","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Canada","Olympic (Men) - Switzerland","away","Quinton Howden",3,"4 on 4","Shot","f",865,182,38,"",NA,NA,"Snapshot",0,0.0995206554809289
"3862","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Thomas Rufenacht",3,"4 on 4","Shot","f",854,151,17,"",NA,NA,"Snapshot",0,0.0177002497507622
"3864","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Ramon Untersander",3,"4 on 4","Shot","f",849,162,52,"",NA,NA,"Snapshot",0,0.0358585012280224
"3869","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Philippe Furrer",3,"4 on 4","Shot","f",835,157,64,"",NA,NA,"Slapshot",0,0.0296984601170784
"3877","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Enzo Corvi",3,"5 on 3","Shot","f",820,160,24,"",NA,NA,"Slapshot",0,0.0312290393200172
"3881","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Denis Hollenstein",3,"5 on 3","Shot","f",812,186,50,"",NA,NA,"Snapshot",0,0.125517249251677
"3894","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Thomas Rufenacht",3,"5 on 4","Shot","f",760,184,43,"",NA,NA,"Snapshot",0,0.111568529208648
"3895","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Thomas Rufenacht",3,"5 on 4","Shot","f",760,184,41,"",NA,NA,"Fan",0,2.08829908455391e-08
"3900","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Thomas Rufenacht",3,"6 on 4","Shot","f",750,171,43,"",NA,NA,"Snapshot",0,0.0568124287758254
"3901","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Simon Moser",3,"6 on 4","Shot","t",748,187,42,"",NA,NA,"Snapshot",1,0.129181283602184
"3907","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Eric Blum",3,"5 on 5","Shot","f",735,140,10,"",NA,NA,"Snapshot",0,0.0093908941959253
"3911","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Eric Blum",3,"5 on 5","Shot","f",723,159,12,"",NA,NA,"Slapshot",0,0.0285673290412521
"3917","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Vincent Praplan",3,"5 on 5","Shot","f",707,137,63,"",NA,NA,"Snapshot",0,0.0092654438813494
"3963","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Canada","Olympic (Men) - Switzerland","away","Gilbert Brule",3,"5 on 5","Shot","f",542,181,77,"",NA,NA,"Wristshot",0,0.0508356625435735
"3978","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Eric Blum",3,"5 on 5","Shot","f",482,140,10,"",NA,NA,"Wristshot",0,0.0043153331166076
"3979","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Ramon Untersander",3,"5 on 5","Shot","f",478,128,53,"",NA,NA,"Wristshot",0,0.00249021685278891
"3987","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Canada","Olympic (Men) - Switzerland","away","Eric O'Dell",3,"5 on 5","Shot","f",444,188,49,"",NA,NA,"Wrap Around",0,9.89738237821936e-09
"3991","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Canada","Olympic (Men) - Switzerland","away","Chris Lee",3,"5 on 5","Shot","f",430,130,23,"",NA,NA,"Wristshot",0,0.00255244733501463
"4001","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Tristan Scherwey",3,"5 on 5","Shot","f",393,147,25,"",NA,NA,"Wristshot",0,0.00668281436642226
"4003","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Canada","Olympic (Men) - Switzerland","away","Rene Bourque",3,"5 on 5","Shot","f",386,159,61,"",NA,NA,"Wristshot",0,0.0145229895483451
"4010","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Felicien Du Bois",3,"5 on 5","Shot","f",352,168,62,"",NA,NA,"Wristshot",0,0.0239904274991115
"4015","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Gaetan Haas",3,"6 on 5","Shot","f",340,133,6,"",NA,NA,"Wristshot",0,0.00287555333840084
"4023","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Canada","Olympic (Men) - Switzerland","away","Wojtek Wolski",3,"5 on 6","Shot","t",308,109,53,"",NA,NA,"Snapshot",1,0.00186245508995173
"4040","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Canada","Olympic (Men) - Switzerland","away","Chris Kelly",3,"5 on 5","Shot","f",248,139,32,"",NA,NA,"Wristshot",0,0.00435082687859683
"4060","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Canada","Olympic (Men) - Switzerland","away","Karl Stollery",3,"5 on 5","Shot","f",199,163,14,"",NA,NA,"Wristshot",0,0.0158338301450951
"4081","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Denis Hollenstein",3,"5 on 5","Shot","f",127,187,38,"",NA,NA,"Wrap Around",0,9.0556121637188e-09
"4091","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Thomas Rufenacht",3,"5 on 5","Shot","f",83,152,19,"",NA,NA,"Slapshot",0,0.0198109290301944
"4103","2/15/2018","2018-02-15 - Canada at Switzerland","Olympic (Men) - Switzerland","Olympic (Men) - Canada","home","Reto Schaeppi",3,"5 on 5","Shot","f",32,179,72,"",NA,NA,"Wristshot",0,0.0450138191449062
"4125","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Marc-Andre Gragnani",1,"5 on 4","Shot","f",1147,129,38,"",NA,NA,"Snapshot",0,0.00549808073700721
"4130","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Mat Robinson",1,"5 on 4","Shot","f",1136,154,22,"",NA,NA,"Slapshot",0,0.0223209917827659
"4133","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Mason Raymond",1,"5 on 4","Shot","t",1128,175,46,"",NA,NA,"Deflection",1,0.131939394637113
"4149","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Dominik Kubalik",1,"5 on 5","Shot","f",1083,175,61,"",NA,NA,"Wristshot",0,0.0351225690393551
"4152","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Chris Lee",1,"5 on 5","Shot","f",1071,159,79,"",NA,NA,"Snapshot",0,0.0328708504467295
"4161","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Ondrej Nemec",1,"5 on 5","Shot","f",1045,135,81,"",NA,NA,"Snapshot",0,0.00873006730909526
"4173","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Adam Polasek",1,"5 on 4","Shot","f",988,134,44,"",NA,NA,"Snapshot",0,0.00740907932640597
"4182","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Chris Kelly",1,"4 on 5","Shot","f",963,155,72,"",NA,NA,"Wristshot",0,0.0119963853857105
"4188","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Martin Erat",1,"5 on 4","Shot","f",946,185,42,"",NA,NA,"Snapshot",0,0.11699015388135
"4189","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Lukas Radil",1,"5 on 4","Shot","f",943,186,43,"",NA,NA,"Wristshot",0,0.0603999729914501
"4190","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Jiri Sekac",1,"5 on 4","Shot","f",943,184,50,"",NA,NA,"Wristshot",0,0.0553626751672354
"4200","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Martin Ruzicka",1,"5 on 4","Shot","f",918,157,21,"",NA,NA,"Slapshot",0,0.0262611512689187
"4209","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Ondrej Nemec",1,"5 on 4","Shot","f",874,139,79,"",NA,NA,"Wristshot",0,0.00499297898902134
"4211","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Tomas Zohorna",1,"5 on 5","Shot","f",868,180,65,"",NA,NA,"Snapshot",0,0.0965521017270755
"4213","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Michal Birner",1,"5 on 5","Shot","f",864,139,15,"",NA,NA,"Slapshot",0,0.009490064290933
"4233","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Martin Erat",1,"5 on 5","Shot","f",794,185,71,"",NA,NA,"Wristshot",0,0.0618857537964055
"4235","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Dominik Kubalik",1,"5 on 5","Shot","t",790,186,33,"",NA,NA,"Snapshot",1,0.120128157416606
"4241","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Maxim Noreau",1,"5 on 5","Shot","f",777,135,55,"",NA,NA,"Slapshot",0,0.00852389772600435
"4257","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Christian Thomas",1,"5 on 5","Shot","f",733,162,42,"",NA,NA,"Wristshot",0,0.0162422777972293
"4287","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Adam Polasek",1,"5 on 5","Shot","f",642,145,76,"",NA,NA,"Wristshot",0,0.0069333334365279
"4288","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Petr Koukal",1,"5 on 5","Shot","f",641,186,60,"",NA,NA,"Snapshot",0,0.12878310895394
"4295","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Jan Kolar",1,"5 on 5","Shot","f",613,137,17,"",NA,NA,"Slapshot",0,0.00853406860079829
"4301","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Tomas Kundratek",1,"5 on 5","Shot","f",591,170,43,"",NA,NA,"Snapshot",0,0.0538588622918116
"4302","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Jiri Sekac",1,"5 on 5","Shot","f",585,180,61,"",NA,NA,"Snapshot",0,0.0955301646543606
"4308","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Michal Jordan",1,"5 on 5","Shot","f",554,140,23,"",NA,NA,"Snapshot",0,0.00975354554780333
"4310","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Roman Cervenka",1,"5 on 5","Shot","f",549,132,75,"",NA,NA,"Snapshot",0,0.00725045019501312
"4313","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Roman Cervenka",1,"5 on 5","Shot","f",545,182,46,"",NA,NA,"Snapshot",0,0.101650425546094
"4319","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Maxim Noreau",1,"5 on 5","Shot","f",528,129,72,"",NA,NA,"Slapshot",0,0.00639780598874591
"4330","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Rene Bourque",1,"5 on 4","Shot","f",480,184,43,"",NA,NA,"Deflection",0,0.200348980316318
"4336","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Derek Roy",1,"5 on 4","Shot","f",464,151,65,"",NA,NA,"Slapshot",0,0.0214015657611347
"4348","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Marc-Andre Gragnani",1,"5 on 4","Shot","f",438,141,42,"",NA,NA,"Snapshot",0,0.0109014851542857
"4355","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Mat Robinson",1,"5 on 4","Shot","f",420,136,61,"",NA,NA,"Slapshot",0,0.00917414540193558
"4359","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Rene Bourque",1,"5 on 4","Shot","f",414,187,36,"",NA,NA,"Wrap Around",0,9.002470846593e-09
"4362","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Maxim Noreau",1,"5 on 4","Shot","f",393,133,66,"",NA,NA,"Slapshot",0,0.00786856636442487
"4363","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Rene Bourque",1,"5 on 4","Shot","t",392,178,42,"",NA,NA,"Snapshot",1,0.0818968125029228
"4371","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Tomas Mertl",1,"5 on 5","Shot","f",376,132,35,"",NA,NA,"Wristshot",0,0.00295940348526666
"4386","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Chris Kelly",1,"5 on 5","Shot","f",318,177,11,"",NA,NA,"Snapshot",0,0.0714523104606708
"4393","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Rob Klinkhammer",1,"5 on 5","Shot","f",305,183,38,"",NA,NA,"Snapshot",0,0.104701168295131
"4397","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Chris Lee",1,"5 on 5","Shot","f",295,128,6,"",NA,NA,"Wristshot",0,0.00216924578173149
"4493","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Michal Birner",2,"5 on 5","Shot","f",1177,178,41,"",NA,NA,"Deflection",0,0.150704184157318
"4494","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Michal Jordan",2,"5 on 5","Shot","t",1176,169,47,"",NA,NA,"Snapshot",1,0.0516238078986221
"4506","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Martin Erat",2,"5 on 5","Shot","f",1126,179,43,"",NA,NA,"Deflection",0,0.158866209587184
"4512","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Tomas Mertl",2,"5 on 5","Shot","f",1102,156,32,"",NA,NA,"Snapshot",0,0.0243730574494405
"4516","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Christian Thomas",2,"5 on 5","Shot","f",1090,158,4,"",NA,NA,"Wristshot",0,0.0116394461014783
"4519","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Cody Goloubef",2,"5 on 5","Shot","f",1081,129,63,"",NA,NA,"Snapshot",0,0.00591534378322171
"4525","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Christian Thomas",2,"5 on 5","Shot","f",1068,172,70,"",NA,NA,"Snapshot",0,0.0645529030826097
"4527","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Christian Thomas",2,"5 on 5","Shot","f",1060,166,53,"",NA,NA,"Wristshot",0,0.0209317903715382
"4535","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Derek Roy",2,"5 on 5","Shot","f",1028,170,61,"",NA,NA,"Wristshot",0,0.026707744156523
"4537","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Rene Bourque",2,"5 on 5","Shot","f",1021,184,44,"",NA,NA,"Snapshot",0,0.111860556857574
"4539","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Mat Robinson",2,"5 on 5","Shot","f",1016,143,23,"",NA,NA,"Fan",0,1.95201142739151e-09
"4543","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Michal Birner",2,"5 on 5","Shot","f",1007,148,77,"",NA,NA,"Wristshot",0,0.00822783840534378
"4551","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Lukas Radil",2,"5 on 5","Shot","f",982,176,19,"",NA,NA,"Wristshot",0,0.0329187419522121
"4560","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Marc-Andre Gragnani",2,"5 on 5","Shot","f",953,130,5,"",NA,NA,"Wristshot",0,0.00242108016302037
"4561","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Brandon Kozun",2,"5 on 5","Shot","f",951,181,46,"",NA,NA,"Wristshot",0,0.0466099142336161
"4564","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Linden Vey",2,"5 on 5","Shot","f",943,168,17,"",NA,NA,"Wristshot",0,0.0210775515592746
"4565","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Brandon Kozun",2,"5 on 5","Shot","f",943,184,43,"",NA,NA,"Deflection",0,0.200348980316318
"4590","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Jakub Nakladal",2,"5 on 5","Shot","f",860,171,60,"",NA,NA,"Wristshot",0,0.0281361933920616
"4598","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Czech Republic","Olympic (Men) - Canada","away","Michal Repik",2,"5 on 5","Shot","f",811,184,66,"",NA,NA,"Wristshot",0,0.0578772868575553
"4603","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Rob Klinkhammer",2,"5 on 5","Shot","f",789,178,4,"",NA,NA,"Snapshot",0,0.0738721482074598
"4605","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Brandon Kozun",2,"5 on 5","Shot","f",787,155,17,"",NA,NA,"Wristshot",0,0.0102220304125922
"4622","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Marc-Andre Gragnani",2,"5 on 5","Shot","f",726,159,21,"",NA,NA,"Slapshot",0,0.0293115772882967
"4627","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Marc-Andre Gragnani",2,"5 on 5","Shot","f",719,129,9,"",NA,NA,"Wristshot",0,0.00231538558167792
"4628","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Rene Bourque",2,"5 on 5","Shot","f",718,181,43,"",NA,NA,"Deflection",0,0.174558442632284
"4633","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Derek Roy",2,"5 on 5","Shot","f",692,139,59,"",NA,NA,"Wristshot",0,0.00470893605151197
"4661","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Andrew Ebbett",2,"5 on 5","Shot","f",601,163,17,"",NA,NA,"Slapshot",0,0.036063808974576
"4678","2/16/2018","2018-02-16 - Czech Republic at Canada","Olympic (Men) - Canada","Olympic (Men) - Czech Republic","home","Stefan Elliott",2,"5 on 5","Shot","f",529,182,26,"",NA,NA,"Wristshot",0,0.0465059777044853
